capital,subcapital,title,instruction,question,correct,wrong_1,wrong_2,wrong_3,hint,q_type
Reelle Zahlen,Mit Wurzeln addieren und subtrahieren,Rechnen mit gleichen Radikanden,Fasse soweit wie möglich zusammen.,17 sqrt(3) + 8 sqrt(3) = ( ___ + ___ )sqrt(3) = ___ * sqrt(3),17;8;25,,,,,gap
Reelle Zahlen,Mit Wurzeln addieren und subtrahieren,Terme zusammenfassen,Schiebe die Aufgaben zu den zugehörigen Lösungen.,14 sqrt(3) - 8 sqrt(3) =  ? | 8 * sqrt(3); 13 sqrt(3) + 6 sqrt(3) = ? | 19 * sqrt(3); 16 sqrt(6) + 12 sqrt(6) =  ? | 31 * sqrt(6); 1 sqrt(8) + 12 sqrt(8) + 13 sqrt(8) =  ? | 36 * sqrt(8),,,,,"Wenn die Radikanden gleich sind, dürfen die Vorfaktoren von Wurzeln zusammengefasst werden.",dragMatch
Reelle Zahlen,Mit Wurzeln addieren und subtrahieren,Terme zusammenfassen,Wie kann man den Term richtig vereinfachen? Nur ein Weg ist richtig.,11 sqrt(2) + 19 sqrt(2) + 14 sqrt(2) + 2 sqrt(2) + 14 sqrt(2),,27sqrt(2) - 60sqrt(2),,,"Wenn die Radikanden gleich sind, dürfen die Vorfaktoren der Wurzeln zusammengefasst werden.",MC
Reelle Zahlen,Mit Wurzeln addieren und subtrahieren,Terme zusammenfassen,Wie kann man den Term richtig vereinfachen? Nur ein Weg ist richtig.,16 sqrt(4) - 20 sqrt(4) + -1 sqrt(6) + 6 sqrt(4) + 20 sqrt(6) + 10 sqrt(6),,29sqrt(6) + 1sqrt(4),,,"Wenn die Radikanden gleich sind, dürfen die Vorfaktoren der Wurzeln zusammengefasst werden.",MC
Reelle Zahlen,Mit Wurzeln addieren und subtrahieren,Ungleicher Radikand,Wurde richtig vereinfacht?,4 sqrt(16) + 9 sqrt(64) + 12 sqrt(64) + 17 sqrt(64) - 20 sqrt(64) + 14 sqrt(16) + 4 sqrt(16) + 15 sqrt(64) = 22sqrt(16) - 8sqrt(64) + 41sqrt(64) = 22*4 - 8*8 + 41*8 = 88 + 328 - -64 = 352,correct,wrong,,,,MC
Reelle Zahlen,Mit Wurzeln addieren und subtrahieren,Ungleicher Radikand,Wurde richtig vereinfacht?,5 sqrt(25) + 13 sqrt(64) + 14 sqrt(64) + 19 sqrt(25) + 14 sqrt(49) + 18 sqrt(64) + 3 sqrt(25) + 14 sqrt(49) = 28sqrt(49) + 45sqrt(64) + 27sqrt(25) = 28*7 + 45*8 + 27*5 = 196 + 360 + 135 = 691,correct,wrong,,,Beim Addieren oder Subtrahieren von Wurzeln darf man allgemein nicht die Radikanden unter eine Wurzel schreiben!,MC
Reelle Zahlen,Mit Wurzeln addieren und subtrahieren,Wurzeln multiplizieren,Multipliziere die Wurzeln.,sqrt(9)*sqrt(4) = sqrt(___ * ___) = sqrt(___) = ___,9;4;36;6,,,,,gap
Reelle Zahlen,Mit Wurzeln multiplizieren und dividieren,Teilweises Wurzelziehen,"Entscheide. Kann man den Term so weiter rechnen, dass es eine ganze Zahl ergibt?",sqrt(1)*sqrt(3) = sqrt(___ * ___) = sqrt(___),1;3;3,,,,,MC
Reelle Zahlen,Mit Wurzeln multiplizieren und dividieren,Vorfaktor unter die Wurzel bringen,Bringe den Vorfaktor unter die Wurzel. ,*sqrt(1)*sqrt(4)*sqrt(3) = sqrt(___) * sqrt(___) * sqrt(___) = sqrt(___ * ___ * ___) = sqrt(___),1;4;3;12,,,,,gap
Reelle Zahlen,Mit Wurzeln multiplizieren und dividieren,Wurzeln dividieren (2),Entscheide. Welcher Rechenweg ergibt für die jeweilige Zahl mehr Sinn?,,sqrt(15/1),sqrt(15)/sqrt(1),,,Kann man die Wurzeln in Zähler und Nenner einzeln ziehen? Oder kann man den Bruch ausrechnen und aus dem Quotienten die Wurzel ziehen?,MC
